06/04 09:33:31 PM | Arguments:
06/04 09:33:31 PM | batch_size: 64
06/04 09:33:31 PM | test_batch_size: 1000
06/04 09:33:31 PM | epochs: 20
06/04 09:33:31 PM | lr: 0.01
06/04 09:33:31 PM | log_interval: 10
06/04 09:33:31 PM | model: LeNet
06/04 09:33:31 PM | path: ./logging/
06/04 09:33:31 PM | gpu: 0
06/04 09:33:31 PM | seed: 1
06/04 09:33:31 PM | evaluate: 
06/04 09:33:31 PM | momentum: 0.9
06/04 09:33:31 PM | weight_decay: 0.0005
06/04 09:33:34 PM | Train Epoch: 1 [0/60000 (0%)]	Loss: 2.324000	Accuracy: 6.2500%
06/04 09:33:34 PM | Train Epoch: 1 [640/60000 (1%)]	Loss: 2.311246	Accuracy: 9.2330%
06/04 09:33:34 PM | Train Epoch: 1 [1280/60000 (2%)]	Loss: 2.274209	Accuracy: 11.0119%
06/04 09:33:35 PM | Train Epoch: 1 [1920/60000 (3%)]	Loss: 2.223234	Accuracy: 20.3629%
06/04 09:33:35 PM | Train Epoch: 1 [2560/60000 (4%)]	Loss: 2.022136	Accuracy: 25.6860%
06/04 09:33:35 PM | Train Epoch: 1 [3200/60000 (5%)]	Loss: 1.579049	Accuracy: 29.9020%
06/04 09:33:35 PM | Train Epoch: 1 [3840/60000 (6%)]	Loss: 1.183369	Accuracy: 33.9908%
06/04 09:33:35 PM | Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.791951	Accuracy: 38.6004%
06/04 09:33:35 PM | Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.571283	Accuracy: 42.8048%
06/04 09:33:35 PM | Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.584698	Accuracy: 47.1669%
06/04 09:33:36 PM | Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.463363	Accuracy: 50.6343%
06/04 09:33:36 PM | Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.571342	Accuracy: 53.7584%
06/04 09:33:36 PM | Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.381245	Accuracy: 56.5083%
06/04 09:33:36 PM | Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.468833	Accuracy: 58.8502%
06/04 09:33:36 PM | Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.507186	Accuracy: 60.7824%
06/04 09:33:36 PM | Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.238048	Accuracy: 62.6656%
06/04 09:33:36 PM | Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.285531	Accuracy: 64.3051%
06/04 09:33:37 PM | Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.233995	Accuracy: 65.8352%
06/04 09:33:37 PM | Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.170882	Accuracy: 67.1961%
06/04 09:33:37 PM | Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.425520	Accuracy: 68.3982%
06/04 09:33:37 PM | Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.246933	Accuracy: 69.5507%
06/04 09:33:37 PM | Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.483071	Accuracy: 70.5421%
06/04 09:33:37 PM | Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.424219	Accuracy: 71.5710%
06/04 09:33:37 PM | Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.461354	Accuracy: 72.4432%
06/04 09:33:38 PM | Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.146398	Accuracy: 73.2495%
06/04 09:33:38 PM | Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.162942	Accuracy: 74.0227%
06/04 09:33:38 PM | Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.242383	Accuracy: 74.7665%
06/04 09:33:38 PM | Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.275876	Accuracy: 75.4728%
06/04 09:33:38 PM | Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.261890	Accuracy: 76.1121%
06/04 09:33:38 PM | Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.124385	Accuracy: 76.7128%
06/04 09:33:38 PM | Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.114132	Accuracy: 77.3360%
06/04 09:33:38 PM | Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.185911	Accuracy: 77.8838%
06/04 09:33:39 PM | Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.095075	Accuracy: 78.3976%
06/04 09:33:39 PM | Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.182600	Accuracy: 78.9086%
06/04 09:33:39 PM | Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.229007	Accuracy: 79.3301%
06/04 09:33:39 PM | Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.370148	Accuracy: 79.7587%
06/04 09:33:39 PM | Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.182632	Accuracy: 80.1896%
06/04 09:33:39 PM | Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.129625	Accuracy: 80.6014%
06/04 09:33:39 PM | Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.106183	Accuracy: 80.9793%
06/04 09:33:40 PM | Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.035486	Accuracy: 81.3779%
06/04 09:33:40 PM | Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.107037	Accuracy: 81.7410%
06/04 09:33:40 PM | Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.085459	Accuracy: 82.1092%
06/04 09:33:40 PM | Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.169307	Accuracy: 82.4117%
06/04 09:33:40 PM | Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.175787	Accuracy: 82.7255%
06/04 09:33:40 PM | Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.281170	Accuracy: 83.0038%
06/04 09:33:40 PM | Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.065037	Accuracy: 83.2906%
06/04 09:33:41 PM | Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.100204	Accuracy: 83.5954%
06/04 09:33:41 PM | Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.070002	Accuracy: 83.8741%
06/04 09:33:41 PM | Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.211968	Accuracy: 84.1281%
